Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,All Time Rank Factor,Explicit Track Logical
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1.0,725.4,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,684.0,62.0,0.0,114.0,0.0,0.0,0.0,0.0,0,1.0,False
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2.0,545.9,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,3.0,67.0,0.0,111.0,0.0,0.0,0.0,0.0,1,2.0,True
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3.0,538.4,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,536.0,136.0,0.0,172.0,0.0,0.0,0.0,0.0,0,3.0,False
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4.0,444.9,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,264.0,0.0,210.0,0.0,0.0,0.0,0.0,0,4.0,False
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5.0,423.3,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,1.0,82.0,0.0,105.0,0.0,0.0,0.0,0.0,1,5.0,True
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6.0,410.1,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,86.0,0.0,152.0,0.0,0.0,0.0,0.0,1,6.0,True
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7.0,407.2,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,429.0,168.0,0.0,154.0,0.0,0.0,0.0,0.0,0,7.0,False
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8.0,375.8,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,30.0,87.0,0.0,53.0,0.0,0.0,0.0,0.0,1,8.0,True
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9.0,355.7,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,True
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10.0,330.6,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,117.0,78.0,0.0,92.0,0.0,842.0,0.0,0.0,1,10.0,True
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11.0,322.1,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,71.0,60.0,0.0,114.0,0.0,0.0,0.0,0.0,1,11.0,True
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12.0,320.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,12.0,True
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13.0,316.3,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,45.0,138.0,0.0,163.0,0.0,0.0,0.0,0.0,0,13.0,False
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14.0,308.2,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,3.0,55.0,0.0,109.0,0.0,0.0,0.0,0.0,1,14.0,True
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15.0,301.6,0.0,277.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,False
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16.0,299.9,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,228.0,60.0,0.0,83.0,0.0,0.0,0.0,0.0,1,16.0,True
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17.0,297.6,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,3.0,99.0,0.0,134.0,0.0,0.0,0.0,0.0,0,17.0,False
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18.0,293.7,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,188.0,0.0,150.0,0.0,0.0,0.0,0.0,1,18.0,True
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19.0,292.6,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,181.0,1.0,24.0,0.0,33.0,0.0,162.0,0.0,0.0,0,19.0,False
As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20.0,292.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,0.0,0.0,330.0,0.0,189.0,0.0,0.0,0.0,0.0,0,20.0,False
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,21.0,290.5,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,273.0,143.0,0.0,146.0,0.0,0.0,0.0,0.0,1,21.0,True
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22.0,281.5,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,236.0,167.0,0.0,149.0,0.0,0.0,0.0,0.0,1,22.0,True
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,TCJPA2445163,23.0,279.0,0.0,10.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.0,True
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,USSM12401302,24.0,278.9,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,257.0,194.0,0.0,177.0,0.0,0.0,0.0,0.0,1,24.0,True
Future,Future,official sound studio,2024-01-10,RUA1H2415548,25.0,277.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.0,False
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26.0,268.1,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,439.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0,26.0,False
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,27.0,266.3,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0,166.0,0.0,128.0,0.0,0.0,0.0,0.0,1,27.0,True
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,KRE671700001,28.0,265.7,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,284.0,142.0,19.0,0.0,17.0,0.0,0.0,0.0,0.0,0,28.0,False
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29.0,262.8,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,32.0,117.0,0.0,126.0,0.0,0.0,0.0,0.0,0,29.0,False
Numb / Encore,Papercuts,JAY-Z,2024-04-12,USWB12400678,30.0,256.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,30.0,True
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,2024-05-14,TCJPA2406007,31.0,249.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31.0,True
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32.0,237.5,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,32.0,3.0,0.0,26.0,0.0,592.0,0.0,0.0,0,32.0,False
Water,Water,Tyla,2023-07-28,USSM12305126,33.0,234.6,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,180.0,0.0,188.0,0.0,0.0,0.0,0.0,0,33.0,False
Strangers,Strangers,Kenya Grace,2023-09-01,USWB12305048,34.0,233.5,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,856.0,113.0,0.0,112.0,0.0,0.0,0.0,0.0,0,34.0,False
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,35.0,231.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,64.0,42.0,0.0,47.0,0.0,0.0,0.0,0.0,0,35.0,False
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,36.0,230.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,36.0,False
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37.0,226.4,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,141.0,58.0,0.0,146.0,0.0,0.0,0.0,0.0,1,37.0,True
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38.0,224.1,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,162.0,133.0,0.0,120.0,0.0,0.0,0.0,0.0,0,38.0,False
fukumean,fukumean,Gunna,2023-06-15,USAT22306575,39.0,221.1,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,40.0,0.0,88.0,0.0,0.0,0.0,0.0,1,39.0,True
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,QZES71982312,40.0,214.5,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,0.0,169.0,584.0,0.0,121.0,0.0,0.0,0.0,0.0,0,40.0,False
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41.0,212.8,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,8.0,67.0,0.0,125.0,0.0,0.0,0.0,0.0,0,41.0,False
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,KRA252300672,42.0,211.2,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,672.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,1,42.0,True
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43.0,209.6,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,207.0,0.0,168.0,0.0,0.0,0.0,0.0,1,43.0,True
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44.0,207.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,96.0,77.0,0.0,80.0,0.0,0.0,0.0,0.0,0,44.0,False
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45.0,206.2,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,63.0,0.0,110.0,0.0,0.0,0.0,0.0,0,45.0,False
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46.0,205.7,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,2.0,73.0,0.0,98.0,0.0,758.0,0.0,0.0,1,46.0,True
Houdini,Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,47.0,205.1,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,405.0,146.0,0.0,127.0,0.0,0.0,0.0,0.0,0,47.0,False
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,TCJPA2415647,48.0,204.4,0.0,9.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,48.0,True
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,49.0,203.6,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,822.0,41.0,0.0,36.0,0.0,0.0,0.0,0.0,1,49.0,True
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,50.0,203.5,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,116.0,145.0,0.0,118.0,0.0,0.0,0.0,0.0,0,50.0,False
euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51.0,202.1,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,77.0,20.0,0.0,31.0,0.0,0.0,0.0,0.0,1,51.0,True
Panda Basi,Panda Basi - EP,Mvua,2023-02-10,GX3Q92333626,52.0,200.3,0.0,249.0,0.0,25.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52.0,False
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,NGA3B2214021,53.0,198.0,0.0,0.0,0.0,77.0,0.0,0.0,599.0,0.0,0.0,0.0,316.0,0.0,0.0,112.0,0.0,146.0,0.0,0.0,0.0,0.0,0,53.0,False
Shape of You,Shape of You,Ed Sheeran,2017-01-06,GBAHS1600463,54.0,195.1,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,282.0,512.0,0.0,115.0,0.0,0.0,0.0,0.0,0,54.0,False
Mitu,Mitu - Single,Maian,2023-01-19,EEUM72300001,55.0,194.3,0.0,42.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,55.0,False
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56.0,194.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,0.0,0.0,564.0,0.0,184.0,0.0,0.0,0.0,0.0,0,56.0,False
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208791,57.0,192.3,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,34.0,58.0,0.0,66.0,0.0,0.0,0.0,0.0,1,57.0,True
Dona Felicidade,Dona Felicidade,Patati Patatï¿,2024-06-04,QZNJW2423715,58.0,190.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58.0,False
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,2024-04-29,TCJPA2420090,59.0,190.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,59.0,True
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,GBUM72205415,60.0,189.1,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,117.0,63.0,0.0,167.0,0.0,0.0,0.0,0.0,0,60.0,False
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,2024-06-05,ROCMA2413380,61.0,187.9,0.0,2.0,135.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61.0,False
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,2023-12-31,RUA1H2406425,62.0,186.5,0.0,2.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62.0,False
Supernova,Supernova,aespa,2024-05-13,KRA302400090,63.0,186.1,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,709.0,13.0,7.0,0.0,14.0,0.0,100.0,0.0,0.0,0,63.0,False
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214877,64.0,184.8,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,327.0,44.0,0.0,63.0,0.0,0.0,0.0,0.0,1,64.0,True
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,2024-03-29,USCM52400059,65.0,181.4,0.0,4.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,65.0,True
Calm Down,Calm Down,Rema,2022-02-10,NGA3B2214004,66.0,180.1,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,759.0,53.0,0.0,45.0,0.0,0.0,0.0,0.0,0,66.0,False
CARNIVAL,CARNIVAL,ýý$,2024-02-08,QZ7XS2400012,67.0,179.6,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,11.0,0.0,29.0,0.0,0.0,0.0,0.0,1,67.0,True
Kill Bill,SOS,SZA,2022-12-08,USRC12204584,68.0,177.7,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,73.0,0.0,122.0,0.0,0.0,0.0,0.0,0,68.0,False
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,USUM72307484,69.0,177.6,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,68.0,108.0,0.0,111.0,0.0,0.0,0.0,0.0,0,69.0,False
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,2023-03-03,QZA742305720,70.0,176.2,0.0,252.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.0,0,70.0,False
Heat Waves,Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71.0,175.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,0.0,0.0,170.0,0.0,95.0,0.0,0.0,0.0,0.0,0,71.0,False
In the End,Papercuts,Linkin Park,2024-04-12,USWB11201322,72.0,174.8,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,72.0,False
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,UYB282301031,73.0,174.3,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,180.0,106.0,0.0,92.0,0.0,0.0,0.0,0.0,0,73.0,False
The Way We Move - Extended Mix,The Way We Move,PowerDress,2023-03-10,UKACT2330463,74.0,173.6,0.0,38.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,74.0,False
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,USSM11901941,75.0,170.3,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,64.0,0.0,100.0,0.0,0.0,0.0,0.0,0,75.0,False
un x100to,un x100to,Grupo Frontera,2023-04-17,QM6N22311285,76.0,170.2,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,225.0,42.0,0.0,81.0,0.0,0.0,0.0,0.0,0,76.0,False
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,2020-04-24,NZAM02001128,77.0,168.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,77.0,False
Sprinter,Sprinter - Single,Dave,2023-06-01,GBUM72305159,78.0,168.1,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,36.0,41.0,0.0,76.0,0.0,0.0,0.0,0.0,1,78.0,True
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79.0,167.8,0.0,0.0,0.0,90.0,0.0,0.0,284.0,0.0,0.0,0.0,185.0,0.0,0.0,53.0,0.0,59.0,0.0,698.0,0.0,0.0,0,79.0,False
TQG,TQG,KAROL G,2023-02-23,USUM72222541,80.0,167.8,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,38.0,84.0,0.0,131.0,0.0,0.0,0.0,0.0,1,80.0,True
Perfect,ýý (Deluxe),Ed Sheeran,2017-03-03,GBAHS1700024,81.0,167.5,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,129.0,343.0,0.0,102.0,0.0,0.0,0.0,0.0,0,81.0,False
Pepas,Pepas,Farruko,2021-06-24,USSD12100307,82.0,167.3,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,438.0,137.0,0.0,102.0,0.0,0.0,0.0,0.0,1,82.0,True
Peekaboo,Glide - Single,Dave Angel,2023-01-27,GBLTF2300027,83.0,167.2,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,0,83.0,False
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,USE7D2300007,84.0,166.5,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,227.0,24.0,0.0,61.0,0.0,0.0,0.0,0.0,0,84.0,False
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,USAT22305457,85.0,166.2,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85.0,False
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,2023-03-17,MXF152300159,86.0,164.9,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,177.0,42.0,0.0,48.0,0.0,0.0,0.0,0.0,1,86.0,True
redrum,american dream,21 Savage,2024-01-12,USSM12309164,87.0,164.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,56.0,48.0,0.0,60.0,0.0,0.0,0.0,0.0,1,87.0,True
Easy On Me,Easy On Me,Adele,2021-10-14,USSM12105970,88.0,163.2,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,257.0,0.0,100.0,0.0,0.0,0.0,0.0,0,88.0,False
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214878,89.0,163.1,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,920.0,44.0,0.0,108.0,0.0,0.0,0.0,0.0,1,89.0,True
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-05-12,USQX92302957,90.0,162.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,146.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,1,90.0,True
Anti-Hero,Midnights,Taylor Swift,2022-10-21,USUG12205736,91.0,161.8,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,74.0,0.0,150.0,0.0,0.0,0.0,0.0,0,91.0,False
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,UYB282201028,92.0,161.7,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,37.0,58.0,0.0,65.0,0.0,0.0,0.0,0.0,0,92.0,False
Magnetic,SUPER REAL ME,ILLIT,2024-03-25,USA2P2413259,93.0,161.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,137.0,9.0,0.0,44.0,0.0,0.0,0.0,0.0,0,93.0,False
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,USSD12300307,94.0,158.2,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,96.0,37.0,0.0,29.0,0.0,0.0,0.0,0.0,1,94.0,True
La Diabla,La Diabla - Single,Xavi,2023-12-02,USA2P2357356,95.0,155.9,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,462.0,34.0,0.0,26.0,0.0,0.0,0.0,0.0,0,95.0,False
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2023-02-03,GBAYE2300015,96.0,153.6,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,65.0,0.0,130.0,0.0,0.0,0.0,0.0,1,96.0,True
Snooze,SOS,SZA,2022-12-09,USRC12204591,97.0,153.3,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,513.0,60.0,0.0,61.0,0.0,0.0,0.0,0.0,1,97.0,True
